number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
391,Freda Payne,Band of Gold,2M 53S,106.9,1984,Rock 1980s,ESSENTLS_002-02,ESSENTLS_002,400s,1980s
392,Five Stairsteps,O-O-H Child,3M 16S,89,2001,TBD,DTRANDOM_007-19,DTRANDOM_007,400s,2000s
393,The Lovin' Spoonful,Summer in the City,2M 37S,113,1966,Rock 1960s,POWERTRK_035-07,POWERTRK_035,400s,1960s
394,Elvis Presley,Can't Help Falling in Love,3M 0S,114.2,1961,Slow,POWERTRK_006-02,POWERTRK_006,400s,1960s
395,The Shangri-Las,Remember (Walking in the Sand),2M 17S,110.7,1987,TBD,DTRANDOM_007-03,DTRANDOM_007,400s,1980s
396,Big Star,Thirteen,2M 34S,116.7,1978,TBD,DTRANDOM_008-02,DTRANDOM_008,400s,1970s
397,Blue Oyster Cult,(Don't Fear) the Reaper,5M 3S,141.5,1976,Rock 1970s,POWERTRK_020-01,POWERTRK_020,400s,1970s
398,Lynyrd Skynyrd,Sweet Home Alabama,4M 44S,98.1,1974,Rock 1970s,POWERTRK_036-15,POWERTRK_036,400s,1970s
399,Metallica,Enter Sandman,5M 31S,124.2,1991,Rock 1990s,POWERTRK_027-07,POWERTRK_027,400s,1990s
400,Paul Revere & The Raiders,Kicks,2M 47S,128,2000,TBD,DTRANDOM_001-11,DTRANDOM_001,400s,2000s
401,The Shirelles,Tonight's the Night,2M 2S,117.4,1961,TBD,DTRANDOM_006-06,DTRANDOM_006,500s,1960s
402,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),4M 49S,105.5,1970,Dance 1970s,POWERTRK_150-15,POWERTRK_150,500s,1970s
403,Eddie Cochran,C'Mon Everybody,1M 56S,87.8,1959,Rock 1950s,POWERTRK_035-06,POWERTRK_035,500s,1950s
404,Bob Dylan,Visions of Johanna,7M 32S,102.8,1985,TBD,DTRANDOM_008-14,DTRANDOM_008,500s,1980s
405,Carpenters,We've Only Just Begun,3M 5S,89.6,1970,Easy,POWERTRK_013-10,POWERTRK_013,500s,1970s
406,R. Kelly,I Believe I Can Fly,4M 41S,120.5,1996,TBD,POBO1996_001-18,POBO1996_001,500s,1990s
407,Nirvana,In Bloom,4M 15S,156.7,2002,TBD,DTRANDOM_008-20,DTRANDOM_008,500s,2000s
408,Aerosmith,Sweet Emotion,4M 35S,99.7,1991,Rock 1990s,POWERTRK_064-02,POWERTRK_064,500s,1990s
